"Timestamp","Q1. Which area of the city do you reside in?  "," Q2. What best describes your current place of residence?  "," Q3. Which of the following best describes your current occupation?  ","Q4. What is your family/household size?  ","Q5. Do you currently have primary responsibility for hiring or managing household help/repairs?  ","Q6. How do you usually find a local service provider (electrician, plumber, painter, etc.)?","Q7. On average, how often does your household require a professional for repairs or maintenance? ","Q8. What is your primary concern when hiring a worker you don't know personally? ","Q9. On a scale of 1-5, how much do you trust a worker you found via a local shop or ""Labor Chowk""? ","Q10. How do you currently verify the background or identity of a new worker before they enter your home?","Q11. If a service provider could provide a ""Verified Work Identity"" (Government ID + Criminal Background Check), would it influence your hiring decision?  ","Q12. Would you be willing to pay a small ""Trust Premium"" (e.g., ₹20-₹30) per visit to ensure the worker is fully background-verified? ","Q13. How important is it for you to see a worker’s previous ratings and reviews before hiring? ","Q14. Would you be interested in trying a student-led initiative that simplifies finding verified local help?"
"2026/03/09 6:01:16 PM GMT+5:30","Gated Societies","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Quality of Work (Skill level)","1","Discuss with known person ","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/03/23 11:10:06 AM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Once every 2-3 months","Quality of Work (Skill level);Punctuality","3","","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/03/24 9:53:49 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security","3","","Yes, definitely","Only for major repairs","4","Yes"
"2026/03/24 9:56:24 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","More than once a month","Personal Safety/Home Security","3","None","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/03/24 10:00:01 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/03/24 10:13:06 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","","Maybe, if the price is same","No, it should be free","4","Yes"
"2026/03/24 10:13:12 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security","2","","Maybe, if the price is same","Only for major repairs","2","No"
"2026/03/24 10:14:39 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","I have a fixed person I always call","Only during emergencies","Personal Safety/Home Security","2","","Maybe, if the price is same","Only for major repairs","4","No"
"2026/03/24 10:18:22 PM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","More than once a month","Quality of Work (Skill level);Punctuality;Unprofessional behavior or language","2","Word of mouth","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/03/24 10:23:46 PM GMT+5:30","Gated Societies","Independent House","Working Professional (Full-time/ Part-time)","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Once every 2-3 months","Quality of Work (Skill level);Overpricing (Lack of transparency)","2","None","Maybe, if the price is same","Only for major repairs","2","Yes"
"2026/03/24 10:49:43 PM GMT+5:30","Posh Residential Areas","Independent House","Business Owner/ Entrepreneur","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","More than once a month","Personal Safety/Home Security","2","","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/03/24 10:53:29 PM GMT+5:30","Posh Residential Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","1","None","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/03/24 11:08:17 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","Yes, I handle it myself.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","3","None","Maybe, if the price is same","Only for major repairs","4","Yes"
"2026/03/25 12:03:15 AM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","I share the responsibility with family members.","Ask friends/ Neighbors","Once every 2-3 months","Quality of Work (Skill level)","4","none","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/03/25 12:17:39 AM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","2-4 Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","he should be from my known only...","Yes, definitely","Only for major repairs","5","Yes"
"2026/03/25 3:22:30 AM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Once every 2-3 months","Quality of Work (Skill level)","3","","Maybe, if the price is same","Yes, for peace of mind","5","Yes"
"2026/03/25 9:04:22 AM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security","2","","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/03/26 7:48:47 AM GMT+5:30","Posh Residential Areas","Independent House","Student","5+ Members","No, someone else in the house handles it.","Ask friends/ Neighbors","Only during emergencies","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency)","1","","Yes, definitely","Only for major repairs","5","Yes"
"2026/03/26 9:26:57 AM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","2","","Yes, definitely","Yes, for peace of mind","4","Yes"
"2026/03/26 10:57:07 AM GMT+5:30","Developing/ Outer Colonies","Gated Community/ Society","Student","2-4 Members","I share the responsibility with family members.","Ask friends/ Neighbors","Once every 2-3 months","Quality of Work (Skill level)","4","","Yes, definitely","Yes, for peace of mind","4","No"
"2026/03/27 4:22:01 PM GMT+5:30","Posh Residential Areas","Apartment/ Flat","Working Professional (Full-time/ Part-time)","2-4 Members","I share the responsibility with family members.","I have a fixed person I always call","Twice a year","Quality of Work (Skill level)","3","None","Yes, definitely","Yes, for peace of mind","5","Yes"
